source_block,cue_id,start_seconds,end_seconds,text
78,78,221.169,223.269,niño está en cierta condición yo como
79,79,223.269,225.609,papá como lo estoy viviendo entonces
80,80,225.609,227.98,creo que esa hubiera sido la forma o al
81,81,227.98,230.859,menos en mi comunidad escolar de esa
82,82,230.859,234.17,forma yo lo hubiese atacado
83,83,234.17,236.69,qué consejo podrías darles a los padres
84,84,236.69,239.45,de familia siempre se los dije un lema
85,85,239.45,242.239,un consejo que me atrevía a brindarles a
86,86,242.239,244.16,las madres de familia ya los padres y
87,87,244.16,245.9,bueno abuelitos también porque haya
88,88,245.9,248.239,bonitos que suplen a los papás hay
89,89,248.239,251.9,cuidadores que decía que nunca apuesten
90,90,251.9,255.14,de la mano a sus niños estén en la etapa
91,91,255.14,257.15,que estén en desde preescolar hasta
92,92,257.15,260.209,preparatoria universidad de ser posible
93,93,260.209,263.12,abrir siempre acompañándolos obviamente
94,94,263.12,265.25,en las etapas son muy diferentes del
95,95,265.25,267.229,acompañamiento que los chicos requieren
96,96,267.229,270.32,es diferente en cada etapa sin embargo
97,97,270.32,271.85,creo que eso es una parte muy importante
98,98,271.85,274.1,en donde los padres siempre deben estar
99,99,274.1,277.49,pendientes de sus hijas pendientes creo
100,100,277.49,280.28,que cambiando la actitud habitual de
101,101,280.28,284.09,alguna forma acudirá a pedir ayuda tal
102,102,284.09,286.19,vez a veces se cierran en o kidd en
103,103,286.19,288.74,sabero o dar a conocer a otra persona
104,104,288.74,290.66,tal o cual situación que les pueda pasar
105,105,290.66,293.09,pero yo los invito a que se acerquen a
106,106,293.09,296.69,sus compañeros padres de familia a sus
107,107,296.69,300.08,maestros al equipo de trabajo que preste
108,108,300.08,302.27,los servicios en el lugar donde lleven a
109,109,302.27,304.43,sus chicos a la escuela no dude en no
110,110,304.43,307.61,duden en acercarse y en abrir su corazón
111,111,307.61,310.97,para que sean atendidas es fácil quietud
112,112,310.97,313.31,es que como padres deben de tener yo sé
113,113,313.31,315.41,que en las escuelas hay buen personal
114,114,315.41,318.05,hay maestros que de verdad somos de
115,115,318.05,320.6,vocación y que estamos para el servicio
116,116,320.6,324.46,y atención de sus niños como adultos
117,117,324.46,326.89,definitivamente cuando un chico es
118,118,326.89,329.81,acosado goleado siempre va a tener un
119,119,329.81,331.6,cambio en su conducta habitual
120,120,331.6,334.1,normalmente son chicos que se empiezan a
121,121,334.1,336.11,aislar con chicos que en los recreos
122,122,336.11,339.86,permanecen solos que muchas veces me
123,123,339.86,342.38,llevo a mi a tocar niños debajo de los
124,124,342.38,345.34,pupitres niños que se van al baño porque
125,125,345.34,348.05,simplemente no quieren estar dentro de
126,126,348.05,350.57,un salón muchas veces me tocaron niños
127,127,350.57,353.24,que yo tenía que ir auxiliar y llevarme
128,128,353.24,355.52,los a la dirección para hablarles un
129,129,355.52,357.53,poquito más de seguridad sin embargo no
130,130,357.53,359.87,queda ahí eso es en la escuela pero como
131,131,359.87,362.09,madres yo creo que ustedes conocen a sus
132,132,362.09,365.12,niños tú cómo sabes perfectamente cómo
133,133,365.12,367.55,son tus hijos cualquier red cualquiera
134,134,367.55,369.62,por insignificante que sea puede ser
135,135,369.62,373.13,desde que ese aislamiento que moje en la
136,136,373.13,376.34,cama que se les vaya el apetito que no
137,137,376.34,378.71,quiera la equis lugar o que no quieran
138,138,378.71,381.53,saludar a una persona todo eso son
139,139,381.53,385.07,signos de que un chico está pasando por
140,140,385.07,388.22,algo difícil sobre todo exhortar de ti
141,141,388.22,390.56,padre madre de familia que busques
142,142,390.56,393.59,atención de fuentes fidedignas que no te
143,143,393.59,396.56,dejes llevar por lo que ahora los
144,144,396.56,399.05,jóvenes se estilan mucho acudir de
145,145,399.05,402.35,inmediato a buscar todo en google no
146,146,402.35,404.24,digo que eso no sirva no es una
147,147,404.24,406.97,herramienta muy importante y muy actual
148,148,406.97,409.43,sin embargo recuerden que cada niño es
149,149,409.43,412.34,diferente entonces un caso de un chico
150,150,412.34,415.73,en particular no es una receta de cocina
151,151,415.73,418.66,que puedas encontrar en internet
152,152,418.66,421.82,este chico tiene su historia tiene su
153,153,421.82,424.43,ambiente familiar tiene sus vivencias
154,154,424.43,426.29,desde cómo fue concebido en qué
155,155,426.29,428.51,condiciones y fue un niño
156,156,428.51,431.9,como la mamá lo es pero estaba feliz
157,157,431.9,435.08,estaba de recibirlo también fue a un
158,158,435.08,437.6,niño que fue concebido por equis o ye
159,159,437.6,441.14,situación a lo mejor no fue deseado todo
160,160,441.14,443.48,eso entonces justamente como un niño
161,161,443.48,446.36,trae esa historia de tan personal nos
162,162,446.36,449.21,podemos encontrar en un google no nos
163,163,449.21,452.12,puede dar la receta y así se va a curar
164,164,452.12,453.47,su niño
165,165,453.47,455.96,por eso la sigo exhortando a que vayan
166,166,455.96,458.72,con el personal citado para cada caso
167,167,458.72,461.03,sean especialistas de la escuela sean
168,168,461.03,463.85,psicólogas psicopedagogas y villarreal o
169,169,463.85,466.46,que ustedes vayan necesitando se les
170,170,466.46,468.38,vaya llevando de la mano desde su
171,171,468.38,470.78,escuela ahí van a empezar a identificar
172,172,470.78,473.5,algún chico con alguna problemática
173,173,473.5,476.51,llámese cualquiera y de ahí los van a ir
174,174,476.51,479.51,canalizando a las instancias muchas
175,175,479.51,481.34,gracias por todo su conocimiento por tus
176,176,481.34,482.56,comentarios
177,177,482.56,488.62,[Música]
178,178,488.62,492.13,o no
179,179,498.689,501.169,o no
180,180,501.68,503.96,y antes de terminar este episodio
181,181,503.96,506.509,después de esta gran intervención vamos
182,182,506.509,509.63,a platicar un poquito más sobre consejos
183,183,509.63,512.149,que se pueden dar para que los padres
184,184,512.149,515.3,detecten si los hijos hijas o hijas
185,185,515.3,519.049,están sufriendo acoso escolar
186,186,519.049,524.409,[Música]
187,187,526.8,528.6,ya sea que se encuentra en zonas de
188,188,528.6,530.94,juego de la escuela o en el parque del
189,189,530.94,533.459,vecindario los niños a veces terminan
190,190,533.459,535.47,siendo víctimas de los acosadores cuando
191,191,535.47,538.97,esto sucede los mismos tiradores pueden
192,192,538.97,543.62,1 amedrentar al niño 2 hacerlos sentir
193,193,543.62,545.43,menos
194,194,545.43,548.16,3 arruinar su juego
195,195,548.16,552.839,4 causarle daño físico o 5 causarle
196,196,552.839,554.63,problemas mentales duraderos
197,197,554.63,557.96,[Música]
198,198,558.15,560.94,evitar a un acosador es una razón por la
199,199,560.94,563.73,cual su hijo puede mostrarse renuente a
200,200,563.73,565.98,asistir a la escuela quizás esté
201,201,565.98,567.87,sintiendo obligado a cederle a su
202,202,567.87,570.69,acosador el dinero de su loans o quizá
203,203,570.69,572.82,podría tener miedo de que lo lastimen
204,204,572.82,575.58,físicamente si tiene sospechas de que
205,205,575.58,577.89,existen problemas como éste debe tomar
206,206,577.89,580.38,medidas para garantizar la seguridad y
207,207,580.38,582.66,el bienestar de su hijo estas son
208,208,582.66,584.37,algunas estrategias que puede adoptar su
209,209,584.37,585.96,hijo con ayuda y que lo ayudarán a
210,210,585.96,588.66,sentirse más seguros
211,211,588.66,590.97,dígale a su niño que no reaccione ante
212,212,590.97,593.009,el acosador ni ceda ante sus exigencias
213,213,593.009,595.949,un acosador se deleita al intimidar a
214,214,595.949,597.93,los demás y no hay nada que le guste
215,215,597.93,600.72,tanto como ver a su víctima llorar o que
216,216,600.72,603.81,se esté molesto de otras maneras obtener
217,217,603.81,605.37,esta respuesta refleja el comportamiento
218,218,605.37,608.519,acosador su hijo debe intentar mantener
219,219,608.519,611.189,su compostura y simplemente alejarte
220,220,611.189,613.829,luego debe comunicarle a un adulto que
221,221,613.829,615.259,está sucediendo
222,222,615.259,619.019,lo más pronto posible los dos si no
223,223,619.019,621.18,resultan en los intentos de su hijo por
224,224,621.18,623.37,ignorar los fastidios de un acosador su
225,225,623.37,625.829,niño debe permanecer firme y mantenerse
226,226,625.829,627.48,erguido y ver a los otros a sus
227,227,627.48,630.449,tiradores y expresar claramente y en voz
228,228,630.449,633.48,alta algo como deja de hacer esto ahora
229,229,633.48,636.48,mismo y continuando voy a denunciar ante
230,230,636.48,639.569,el director y te hablo pero no voy a
231,231,639.569,642.72,pelear así que baja tus impulsos
232,232,642.72,645.12,algunas veces una expresión fuerte
233,233,645.12,647.37,calmará la situación y el acosador
234,234,647.37,649.879,tratará de encontrar otro blanco más que
235,235,649.879,652.949,el hecho de atraer la atención de los
236,236,652.949,655.17,compañeros hacia la situación de acoso
237,237,655.17,658.889,puede avergonzar al acosador si un niño
238,238,658.889,660.48,no está acostumbrado a reaccionar de
239,239,660.48,661.86,manera asertiva
240,240,661.86,664.259,ayúdelo ensayar lo que va a decir si se
241,241,664.259,668.18,ve confrontado 3 hablar con el pediatra
242,242,668.18,672.089,puede beneficiar al niño el pediatra
243,243,672.089,673.92,puede decir si el niño sufre en algún
244,244,673.92,676.589,momento un problema mental debido al
245,245,676.589,678.449,acoso y puede referir a los
246,246,678.449,681.029,especialistas de salud mental para más
247,247,681.029,683.12,de evaluaciones y tratamientos
248,248,683.12,686.97,4 insiste a su niño a que forme lazos
249,249,686.97,689.04,sólidos de amistad un joven que tiene
250,250,689.04,691.019,buenos amigos tienen menos probabilidad
251,251,691.019,694.11,de ser el blanco de un acosador o por lo
252,252,694.11,696.18,menos tiene algunos aliados en caso de
253,253,696.18,700.079,que se vuelva un objeto de acoso 5
254,254,700.079,701.97,hablé con el maestro o con la maestra de
255,255,701.97,704.459,su hijo o con el director en caso de que
256,256,704.459,707.129,persista la situación con el acosador es
257,257,707.129,709.83,posible que usted se rehúsa a intervenir
258,258,709.83,712.23,porque su niño se vaya a avergonzar de
259,259,712.23,714.6,que lo hace o porque cree que él
260,260,714.6,716.12,necesita lidiar con estas situaciones
261,261,716.12,718.26,por otro lado no quiere que la
262,262,718.26,720.63,autoconfianza de su niño se debilite lo
263,263,720.63,722.01,que está en riesgo su bienestar físico
264,264,722.01,724.23,su hijo merece asistía a la escuela de
265,265,724.23,726.69,momento con seguro aún cuando está
266,266,726.69,729.09,significa que tanto usted como el
267,267,729.09,730.56,personal de la escuela deban
268,268,730.56,733.86,involucrarse y por último deje que el
269,269,733.86,735.21,director de la escuela o el maestro
270,270,735.21,737.49,hable directamente con el niño tirador
271,271,737.49,739.41,cuando vea el comportamiento inapropiado
272,272,739.41,742.56,en la escuela esto funciona mejor que el
273,273,742.56,744.8,tratar de hablar con él o con sus padres
274,274,744.8,749.89,[Música]
275,275,749.89,753.37,o no
276,276,758.17,760.7,déjenme saber sus comentarios dudas
277,277,760.7,763.49,preguntas a través de las redes sociales
278,278,763.49,765.32,las encuentran como árbol podcast
279,279,765.32,767.69,elegiré tecú voy a adicionar un link en
280,280,767.69,769.279,la descripción del episodio para que
281,281,769.279,771.68,puedan llegar a cada una de ellas
282,282,771.68,773.51,recuerden que dar un la aventaron
283,283,773.51,775.61,compartir dar un suscribirse en youtube
284,284,775.61,777.44,ayuda mucho para que toda esta
285,285,777.44,779.39,información puede llegar a más y más
286,286,779.39,781.25,personas y de esta manera nos
287,287,781.25,783.29,encaminemos a hacer esa sociedad que
288,288,783.29,786.38,vive incluye respetar
289,289,786.38,788.78,con la universidad no me queda más que
290,290,788.78,790.31,recordarles que mi nombre es oscar olmos
291,291,790.31,792.17,y que nos escuchamos en el próximo
292,292,792.17,794.09,episodio para continuar construyendo
293,293,794.09,797.16,conocimiento derribando prejuicios
294,294,797.16,804.719,[Música]
